ano;nome_uf;codigo_uf;sigla_uf;nome_regiao;codigo_regiao;familia;denominacao;quantidade
2000;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;50;4238
2000;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;100;110
2000;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;1;3
2000;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;5;403
2000;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;10;1609
2000;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;50;1300
2000;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;100;42
2000;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;1;8
2000;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;5;411
2000;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;10;2939
2000;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;50;4359
2000;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;100;212
2000;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;1;4
2000;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;5;84
2000;Espírito Santo;32;ES;Sudeste;3;Cédulas - em polímero;10;1
2000;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;10;824
2000;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;50;1305
2000;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;100;19
2000;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;1;1
2000;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;5;225
2000;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;10;2926
2000;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;50;3240
2000;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;100;147
2000;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;1;1
2000;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;5;45
2000;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;10;737
2000;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;50;592
2000;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;100;19
2000;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;5;22
2000;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;10;313
2000;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;50;1374
2000;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;100;65
2000;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;5;16
2000;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;10;531
2000;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;50;3199
2000;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;100;64
2000;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;1;8
2000;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;5;1558
2000;Minas Gerais;31;MG;Sudeste;3;Cédulas - em polímero;10;2
2000;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;10;15322
2000;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;50;13828
2000;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;100;359
2000;Pará;15;PA;Norte;1;Cédulas - 1a. família;1;4
2000;Pará;15;PA;Norte;1;Cédulas - 1a. família;5;193
2000;Pará;15;PA;Norte;1;Cédulas - 1a. família;10;690
2000;Pará;15;PA;Norte;1;Cédulas - 1a. família;50;588
2000;Pará;15;PA;Norte;1;Cédulas - 1a. família;100;37
2000;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;1;1
2000;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;5;49
2000;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;10;481
2000;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;50;374
2000;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;100;14
2000;Paraná;41;PR;Sul;4;Cédulas - 1a. família;1;9
2000;Paraná;41;PR;Sul;4;Cédulas - 1a. família;5;436
2000;Paraná;41;PR;Sul;4;Cédulas - 1a. família;10;4408
2000;Paraná;41;PR;Sul;4;Cédulas - 1a. família;50;6022
2000;Paraná;41;PR;Sul;4;Cédulas - 1a. família;100;424
2000;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;1;130
2000;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;5;2338
2000;Pernambuco;26;PE;Nordeste;2;Cédulas - em polímero;10;11
2000;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;10;10516
2000;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;50;3386
2000;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;100;122
2000;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;5;39
2000;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;10;423
2000;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;50;247
2000;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;100;17
2000;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;1;8
2000;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;5;2715
2000;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - em polímero;10;1
2000;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;10;9907
2000;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;50;22568
2000;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;100;371
2000;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;1;2
2000;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;5;101
2000;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;10;600
2000;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;50;301
2000;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;100;23
2000;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;1;44
2000;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;5;581
2000;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;10;11648
2000;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;50;4595
2000;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;100;541
2000;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;5;29
2000;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;10;76
2000;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;50;555
2000;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;100;22
2000;Roraima;14;RR;Norte;1;Cédulas - 1a. família;10;20
2000;Roraima;14;RR;Norte;1;Cédulas - 1a. família;50;105
2000;Roraima;14;RR;Norte;1;Cédulas - 1a. família;100;51
2000;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;1;3
2000;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;5;83
2000;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;10;1743
2000;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;50;2374
2000;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;100;111
2000;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;1;50
2000;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;5;5456
2000;São Paulo;35;SP;Sudeste;3;Cédulas - em polímero;10;85
2000;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;10;98564
2000;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;50;55283
2000;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;100;1519
2000;Sergipe;28;SE;Nordeste;2;Cédulas - 1a. família;1;1
2000;Sergipe;28;SE;Nordeste;2;Cédulas - 1a. família;5;66
2000;Sergipe;28;SE;Nordeste;2;Cédulas - 1a. família;10;923
2000;Sergipe;28;SE;Nordeste;2;Cédulas - 1a. família;50;555
2000;Sergipe;28;SE;Nordeste;2;Cédulas - 1a. família;100;17
2000;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;5;33
2000;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;10;316
2000;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;50;132
2000;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;100;14
2001;Acre;12;AC;Norte;1;Cédulas - 1a. família;5;3
2001;Acre;12;AC;Norte;1;Cédulas - 1a. família;10;154
2001;Acre;12;AC;Norte;1;Cédulas - 1a. família;50;448
2001;Acre;12;AC;Norte;1;Cédulas - 1a. família;100;1
2001;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;1;5
2001;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;5;264
2001;Alagoas;27;AL;Nordeste;2;Cédulas - em polímero;10;47
2001;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;10;1234
2001;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;50;714
2001;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;100;12
2001;Amapá;16;AP;Norte;1;Cédulas - 1a. família;5;3
2001;Amapá;16;AP;Norte;1;Cédulas - 1a. família;10;89
2001;Amapá;16;AP;Norte;1;Cédulas - 1a. família;50;145
2001;Amapá;16;AP;Norte;1;Cédulas - 1a. família;100;2
2001;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;1;7
2001;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;5;54
2001;Amazonas;13;AM;Norte;1;Cédulas - em polímero;10;23
2001;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;10;345
2001;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;50;185
2001;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;100;89
2001;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;1;10
2001;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;5;748
2001;Bahia;29;BA;Nordeste;2;Cédulas - em polímero;10;657
2001;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;10;6517
2001;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;50;4943
2001;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;100;44
2001;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;1;3
2001;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;5;1189
