"ano";"turno";"tipo_eleicao";"sigla_uf";"id_municipio";"id_municipio_tse";"cargo";"sigla_partido";"numero_candidato";"sequencial_candidato";"id_candidato_bd";"resultado";"votos"
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31007;10000603910;1509885;"suplente";407
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31555;10000603911;768705;"suplente";1260
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31777;10000603912;659661;"suplente";695
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31456;10000603913;1018845;"suplente";1551
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31111;10000603914;794587;"suplente";160
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31000;10000603915;1794568;"suplente";1353
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31445;10000603916;1234068;"suplente";476
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31123;10000603917;25084;"suplente";202
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31331;10000603918;765971;"suplente";991
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31222;10000627572;800421;"suplente";25
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31999;10000627573;1266915;"suplente";157
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31789;10000627574;1630077;"suplente";21
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31113;10000627575;210992;"suplente";3
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31321;10000627576;1431087;"suplente";59
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31441;10000627577;196803;"suplente";19
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PL";22333;10000610680;1750606;"eleito por media";3568
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PL";22123;10000610681;799031;"suplente";627
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PL";22222;10000610697;286485;"suplente";2936
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35000;10000603895;350921;"suplente";664
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35123;10000603896;1800863;"suplente";40
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35888;10000603897;1265444;"suplente";53
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35013;10000603898;648804;"suplente";89
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35193;10000603899;1134248;"suplente";805
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35100;10000603900;798768;"suplente";296
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35355;10000603901;1470970;"suplente";83
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMB";35321;10000603902;1587243;"suplente";12
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMN";33456;10000610684;544798;"suplente";419
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PMN";33333;10000610698;1165847;"suplente";2376
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19019;10000600781;1164333;"eleito por qp";6412
