sigla_uf;nome_regiao;codigo_regiao;nome_uf;codigo_uf;latitude;longitude;ano;homicidios;tx_homicidios
CE;Nordeste;2;Ceará;23;-5,2;-39,53;2017;5042;55,9
DF;Centro-Oeste;5;Distrito Federal;53;-15,83;-47,86;2017;508;16,7
ES;Sudeste;3;Espírito Santo;32;-19,19;-40,34;2017;1407;35
GO;Centro-Oeste;5;Goiás;52;-15,98;-49,86;2017;2255;33,3
MA;Nordeste;2;Maranhão;21;-5,42;-45,44;2017;1820;26
MG;Sudeste;3;Minas Gerais;31;-18,1;-44,38;2017;3966;18,8
MS;Centro-Oeste;5;Mato Grosso do Sul;50;-20,51;-54,54;2017;530;19,5
MT;Centro-Oeste;5;Mato Grosso;51;-12,64;-55,42;2017;985;29,5
PA;Norte;1;Pará;15;-3,79;-52,48;2017;3877;46,3
PB;Nordeste;2;Paraíba;25;-7,28;-36,72;2017;1242;30,9
PE;Nordeste;2;Pernambuco;26;-8,38;-37,86;2017;5140;54,3
PI;Nordeste;2;Piauí;22;-6,6;-42,28;2017;598;18,6
PR;Sul;4;Paraná;41;-24,89;-51,55;2017;2187;19,3
RJ;Sudeste;3;Rio de Janeiro;33;-22,25;-42,66;2017;5346;32
RN;Nordeste;2;Rio Grande do Norte;24;-5,81;-36,59;2017;1863;53,1
RO;Norte;1;Rondônia;11;-10,83;-63,34;2017;481;26,6
RR;Norte;1;Roraima;14;1,99;-61,33;2017;190;36,4
RS;Sul;4;Rio Grande do Sul;43;-30,17;-53,5;2017;2970;26,2
SC;Sul;4;Santa Catarina;42;-27,45;-50,95;2017;987;14,1
SE;Nordeste;2;Sergipe;28;-10,57;-37,45;2017;1121;49
SP;Sudeste;3;São Paulo;35;-22,19;-48,79;2017;3504;7,8
TO;Norte;1;Tocantins;17;-9,46;-48,26;2017;355;22,9
BR;Todas;0;Todas;0;;;2017;56077;27
AC;Norte;1;Acre;12;-8,77;-70,55;2018;397;45,7
AL;Nordeste;2;Alagoas;27;-9,62;-36,82;2018;1309;39,4
AM;Norte;1;Amazonas;13;-3,47;-65,1;2018;1101;27
AP;Norte;1;Amapá;16;1,41;-51,77;2018;392;47,3
BA;Nordeste;2;Bahia;29;-13,29;-41,71;2018;5349;36,1
CE;Nordeste;2;Ceará;23;-5,2;-39,53;2018;4481;49,4
DF;Centro-Oeste;5;Distrito Federal;53;-15,83;-47,86;2018;459;15,4
ES;Sudeste;3;Espírito Santo;32;-19,19;-40,34;2018;1109;27,9
GO;Centro-Oeste;5;Goiás;52;-15,98;-49,86;2018;2110;30,5
MA;Nordeste;2;Maranhão;21;-5,42;-45,44;2018;1619;23
MG;Sudeste;3;Minas Gerais;31;-18,1;-44,38;2018;3077;14,6
MS;Centro-Oeste;5;Mato Grosso do Sul;50;-20,51;-54,54;2018;546;19,9
MT;Centro-Oeste;5;Mato Grosso;51;-12,64;-55,42;2018;916;26,6
PA;Norte;1;Pará;15;-3,79;-52,48;2018;3827;45
PB;Nordeste;2;Paraíba;25;-7,28;-36,72;2018;1163;29,1
PE;Nordeste;2;Pernambuco;26;-8,38;-37,86;2018;4027;42,4
PI;Nordeste;2;Piauí;22;-6,6;-42,28;2018;567;17,4
PR;Sul;4;Paraná;41;-24,89;-51,55;2018;1955;17,2
RJ;Sudeste;3;Rio de Janeiro;33;-22,25;-42,66;2018;4950;28,8
RN;Nordeste;2;Rio Grande do Norte;24;-5,81;-36,59;2018;1503;43,2
RO;Norte;1;Rondônia;11;-10,83;-63,34;2018;419;23,8
RR;Norte;1;Roraima;14;1,99;-61,33;2018;336;58,3
RS;Sul;4;Rio Grande do Sul;43;-30,17;-53,5;2018;2362;20,8
SC;Sul;4;Santa Catarina;42;-27,45;-50,95;2018;775;11
SE;Nordeste;2;Sergipe;28;-10,57;-37,45;2018;948;41,6
SP;Sudeste;3;São Paulo;35;-22,19;-48,79;2018;3106;6,8
TO;Norte;1;Tocantins;17;-9,46;-48,26;2018;368;23,7
BR;Todas;0;Todas;0;;;2018;49171;23,6
AC;Norte;1;Acre;12;-8,77;-70,55;2019;281;31,9
AL;Nordeste;2;Alagoas;27;-9,62;-36,82;2019;1068;32
AM;Norte;1;Amazonas;13;-3,47;-65,1;2019;1014;24,5
AP;Norte;1;Amapá;16;1,41;-51,77;2019;297;35,1
BA;Nordeste;2;Bahia;29;-13,29;-41,71;2019;5013;33,7
CE;Nordeste;2;Ceará;23;-5,2;-39,53;2019;2155;23,6
DF;Centro-Oeste;5;Distrito Federal;53;-15,83;-47,86;2019;422;14
ES;Sudeste;3;Espírito Santo;32;-19,19;-40,34;2019;987;24,6
GO;Centro-Oeste;5;Goiás;52;-15,98;-49,86;2019;1623;23,1
MA;Nordeste;2;Maranhão;21;-5,42;-45,44;2019;1401;19,8
MG;Sudeste;3;Minas Gerais;31;-18,1;-44,38;2019;2722;12,9
MS;Centro-Oeste;5;Mato Grosso do Sul;50;-20,51;-54,54;2019;456;16,4
MT;Centro-Oeste;5;Mato Grosso;51;-12,64;-55,42;2019;842;24,2
PA;Norte;1;Pará;15;-3,79;-52,48;2019;2764;32,1
PB;Nordeste;2;Paraíba;25;-7,28;-36,72;2019;907;22,6
PE;Nordeste;2;Pernambuco;26;-8,38;-37,86;2019;3257;34,1
PI;Nordeste;2;Piauí;22;-6,6;-42,28;2019;539;16,5
PR;Sul;4;Paraná;41;-24,89;-51,55;2019;1780;15,6
RJ;Sudeste;3;Rio de Janeiro;33;-22,25;-42,66;2019;4004;23,2
RN;Nordeste;2;Rio Grande do Norte;24;-5,81;-36,59;2019;1074;30,6
RO;Norte;1;Rondônia;11;-10,83;-63,34;2019;362;20,4
RR;Norte;1;Roraima;14;1,99;-61,33;2019;180;29,7
RS;Sul;4;Rio Grande do Sul;43;-30,17;-53,5;2019;1815;16
SC;Sul;4;Santa Catarina;42;-27,45;-50,95;2019;698;9,7
SE;Nordeste;2;Sergipe;28;-10,57;-37,45;2019;772;33,6
SP;Sudeste;3;São Paulo;35;-22,19;-48,79;2019;2906;6,3
TO;Norte;1;Tocantins;17;-9,46;-48,26;2019;361;23
BR;Todas;0;Todas;0;;;2019;39700;18,9
AC;Norte;1;Acre;12;-8,77;-70,55;2020;280;31,3
AL;Nordeste;2;Alagoas;27;-9,62;-36,82;2020;1218;36,3
AM;Norte;1;Amazonas;13;-3,47;-65,1;2020;954;22,7
AP;Norte;1;Amapá;16;1,41;-51,77;2020;226;26,2
BA;Nordeste;2;Bahia;29;-13,29;-41,71;2020;5368;36
CE;Nordeste;2;Ceará;23;-5,2;-39,53;2020;3934;42,8
DF;Centro-Oeste;5;Distrito Federal;53;-15,83;-47,86;2020;384;12,6
ES;Sudeste;3;Espírito Santo;32;-19,19;-40,34;2020;1103;27,1
GO;Centro-Oeste;5;Goiás;52;-15,98;-49,86;2020;1468;20,6
MA;Nordeste;2;Maranhão;21;-5,42;-45,44;2020;1859;26,1
MG;Sudeste;3;Minas Gerais;31;-18,1;-44,38;2020;2550;12
