epi_week;date;country;state;newDeaths;deaths;newCases;totalCases;deathsMS;totalCasesMS;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;recovered;suspects;tests;tests_per_100k_inhabitants;vaccinated;vaccinated_per_100_inhabitants;vaccinated_second;vaccinated_second_per_100_inhabitants;vaccinated_single;vaccinated_single_per_100_inhabitants;vaccinated_third;vaccinated_third_per_100_inhabitants
12;16/03/2020;Brazil;RJ;0;0;7;31;0;31;0.00000;0.17955;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;RS;0;0;2;8;0;6;0.00000;0.07032;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;SC;0;0;1;7;0;7;0.00000;0.09770;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;SE;0;0;4;5;0;1;0.00000;0.21751;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;SP;0;0;16;152;0;152;0.00000;0.33102;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;TOTAL;0;0;54;279;0;234;0.00000;0.13079;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;AC;0;0;3;3;0;0;0.00000;0.34016;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;AM;0;0;0;2;0;1;0.00000;0.04826;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;BA;0;0;4;14;0;3;0.00000;0.09413;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;CE;0;0;1;10;0;5;0.00000;0.10950;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;DF;0;0;3;22;0;22;0.00000;0.72962;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;GO;0;0;1;10;0;6;0.00000;0.14248;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;MG;0;0;8;14;0;7;0.00000;0.06614;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;MS;0;0;2;6;0;4;0.00000;0.21591;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;PE;0;0;10;18;0;16;0.00000;0.18834;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;PR;0;0;6;12;0;6;0.00000;0.10495;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;RJ;0;0;2;33;0;33;0.00000;0.19114;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;RS;0;0;2;10;0;10;0.00000;0.08789;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;SC;0;0;0;7;0;7;0.00000;0.09770;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;SE;0;0;0;5;0;4;0.00000;0.21751;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;SP;1;1;12;164;1;164;0.00218;0.35715;0.00610;;;;;;;;;;;;
12;17/03/2020;Brazil;TOTAL;1;1;54;333;1;291;0.00047;0.15611;0.00300;;;;;;;;;;;;
12;18/03/2020;Brazil;AC;0;0;0;3;0;0;0.00000;0.34016;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;AM;0;0;0;2;0;1;0.00000;0.04826;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;BA;0;0;13;27;0;3;0.00000;0.18154;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;CE;0;0;9;19;0;9;0.00000;0.20806;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;DF;0;0;12;34;0;26;0.00000;112.759;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;ES;0;0;8;9;0;9;0.00000;0.22396;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;GO;0;0;2;12;0;8;0.00000;0.17098;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;MG;0;0;5;19;0;15;0.00000;0.08975;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;MS;0;0;1;7;0;7;0.00000;0.25189;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;PA;0;0;1;1;0;0;0.00000;0.01162;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;PB;0;0;1;1;0;0;0.00000;0.02489;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;PE;0;0;1;19;0;16;0.00000;0.19881;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;PR;0;0;3;15;0;13;0.00000;0.13119;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;RJ;0;0;30;63;0;45;0.00000;0.36490;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;RS;0;0;9;19;0;19;0.00000;0.16700;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;SC;0;0;7;14;0;10;0.00000;0.19540;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;SE;0;0;1;6;0;5;0.00000;0.26102;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;SP;3;4;77;241;4;240;0.00871;0.52484;0.01660;;;;;;;;;;;;
12;18/03/2020;Brazil;TO;0;0;1;1;0;0;0.00000;0.06358;0.00000;;;;;;;;;;;;
12;18/03/2020;Brazil;TOTAL;3;4;181;514;4;428;0.00188;0.24096;0.00778;;;;;;;;;;;;
12;19/03/2020;Brazil;AC;0;0;1;4;0;3;0.00000;0.45355;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;AL;0;0;3;4;0;4;0.00000;0.11986;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;AM;0;0;1;3;0;3;0.00000;0.07238;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;BA;0;0;4;31;0;30;0.00000;0.20843;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;CE;0;0;5;24;0;20;0.00000;0.26281;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;DF;0;0;8;42;0;42;0.00000;139.291;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;ES;0;0;4;13;0;11;0.00000;0.32349;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;GO;0;0;3;15;0;12;0.00000;0.21373;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;MG;0;0;10;29;0;29;0.00000;0.13699;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;MS;0;0;2;9;0;7;0.00000;0.32386;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;PA;0;0;0;1;0;1;0.00000;0.01162;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;PB;0;0;0;1;0;1;0.00000;0.02489;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;PE;0;0;9;28;0;28;0.00000;0.29298;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;PI;0;0;3;3;0;0;0.00000;0.09165;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;PR;0;0;9;24;0;23;0.00000;0.20990;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;RJ;2;2;3;66;2;65;0.01158;0.38228;0.03030;;;;;;;;;;;;
12;19/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;RS;0;0;12;31;0;28;0.00000;0.27247;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;SC;0;0;7;21;0;20;0.00000;0.29310;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;SE;0;0;0;6;0;6;0.00000;0.26102;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;SP;1;5;45;286;4;286;0.01089;0.62284;0.01748;;;;;;;;;;;;
12;19/03/2020;Brazil;TO;0;0;0;1;0;1;0.00000;0.06358;0.00000;;;;;;;;;;;;
12;19/03/2020;Brazil;TOTAL;3;7;129;643;6;621;0.00328;0.30143;0.01089;;;;;;;;;;;;
12;20/03/2020;Brazil;AC;0;0;3;7;0;7;0.00000;0.79371;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;AL;0;0;2;6;0;5;0.00000;0.17978;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;AM;0;0;4;7;0;3;0.00000;0.16889;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;AP;0;0;1;1;0;1;0.00000;0.11824;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;BA;0;0;3;34;0;33;0.00000;0.22860;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;CE;0;0;44;68;0;55;0.00000;0.74463;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;DF;0;0;45;87;0;87;0.00000;288.532;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;ES;0;0;3;16;0;13;0.00000;0.39814;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;GO;0;0;3;18;0;15;0.00000;0.25647;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;MA;0;0;1;1;0;0;0.00000;0.01413;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;MG;0;0;9;38;0;35;0.00000;0.17951;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;MS;0;0;3;12;0;9;0.00000;0.43181;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;MT;0;0;1;1;0;1;0.00000;0.02870;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;PA;0;0;1;2;0;2;0.00000;0.02325;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;PB;0;0;0;1;0;1;0.00000;0.02489;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;PE;0;0;3;31;0;30;0.00000;0.32437;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;PI;0;0;1;4;0;3;0.00000;0.12220;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;PR;0;0;13;37;0;32;0.00000;0.32360;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;RJ;0;2;43;109;2;109;0.01158;0.63134;0.01835;;;;;;;;;;;;
12;20/03/2020;Brazil;RN;0;0;5;6;0;1;0.00000;0.17109;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;RO;0;0;1;1;0;1;0.00000;0.05627;0.00000;;;;;;;;;;;;
12;20/03/2020;Brazil;RS;0;0;12;43;0;37;0.00000;0.37795;0.00000;;;;;;;;;;;;
